folder,video1,offset_Ch1,video2,offset_Ch2,video3,offset_Ch3,VWTimestamp,Description,Code,KP
DATA_20160825174059000,20160825174059000@DVR1_Ch1.asf,1049.701,20160825174059453@DVR1_Ch2.asf,1049.248,20160825174059668@DVR1_Ch3.asf,1049.033,20160825175828701,Exposure - Start,7.1,6.7337
DATA_20160908041535024,20160908041535352@DVR1_Ch1.asf,301.248,20160908041535539@DVR1_Ch2.asf,301.061,20160908041536289@DVR1_Ch3.asf,300.311,20160908042036600,Debris - Netting,6.2,1.662
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1.631,20160908013707492@DVR1_Ch2.asf,1.146,20160908013708085@DVR1_Ch3.asf,0.553,20160908013708638,Field Joint - Normal,2.1,1.608
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,32.951,20160908013707492@DVR1_Ch2.asf,32.466,20160908013708085@DVR1_Ch3.asf,31.873,20160908013739958,Exposure - intermittent start,7.4,1.599
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,286.435,20160908013707492@DVR1_Ch2.asf,285.95,20160908013708085@DVR1_Ch3.asf,285.357,20160908014153442,Exposure - End,7.2,1.527
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,340.355,20160908013707492@DVR1_Ch2.asf,339.87,20160908013708085@DVR1_Ch3.asf,339.277,20160908014247362,Field Joint - Normal,2.1,1.514
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,387.876,20160908013707492@DVR1_Ch2.asf,387.391,20160908013708085@DVR1_Ch3.asf,386.798,20160908014334883,Field Joint - Normal,2.1,1.5019
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,480.038,20160908013707492@DVR1_Ch2.asf,479.553,20160908013708085@DVR1_Ch3.asf,478.96,20160908014507045,Field Joint - Normal,2.1,1.479
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,526.279,20160908013707492@DVR1_Ch2.asf,525.794,20160908013708085@DVR1_Ch3.asf,525.201,20160908014553286,Field Joint - Normal,2.1,1.467
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,573.079,20160908013707492@DVR1_Ch2.asf,572.594,20160908013708085@DVR1_Ch3.asf,572.001,20160908014640086,Field Joint - Normal,2.1,1.455
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,618.48,20160908013707492@DVR1_Ch2.asf,617.995,20160908013708085@DVR1_Ch3.asf,617.402,20160908014725487,Field Joint - Normal,2.1,1.4433
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,647.161,20160908013707492@DVR1_Ch2.asf,646.676,20160908013708085@DVR1_Ch3.asf,646.083,20160908014754168,Exposure - Start,7.1,1.436
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,658.721,20160908013707492@DVR1_Ch2.asf,658.236,20160908013708085@DVR1_Ch3.asf,657.643,20160908014805728,Exposure - End,7.2,1.433
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,663.241,20160908013707492@DVR1_Ch2.asf,662.756,20160908013708085@DVR1_Ch3.asf,662.163,20160908014810248,Field Joint - Normal,2.1,1.4316
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,708.842,20160908013707492@DVR1_Ch2.asf,708.357,20160908013708085@DVR1_Ch3.asf,707.764,20160908014855849,Field Joint - Normal,2.1,1.419
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,751.163,20160908013707492@DVR1_Ch2.asf,750.678,20160908013708085@DVR1_Ch3.asf,750.085,20160908014938170,Field Joint - Normal,2.1,1.4076
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,792.883,20160908013707492@DVR1_Ch2.asf,792.398,20160908013708085@DVR1_Ch3.asf,791.805,20160908015019890,Field Joint - Normal,2.1,1.395
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,834.484,20160908013707492@DVR1_Ch2.asf,833.999,20160908013708085@DVR1_Ch3.asf,833.406,20160908015101491,Field Joint - Normal,2.1,1.383
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,851.204,20160908013707492@DVR1_Ch2.asf,850.719,20160908013708085@DVR1_Ch3.asf,850.126,20160908015118211,Exposure - Start,7.1,1.3786
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,861.524,20160908013707492@DVR1_Ch2.asf,861.039,20160908013708085@DVR1_Ch3.asf,860.446,20160908015128531,Exposure - intermittent  end,7.5,1.3753
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,878.284,20160908013707492@DVR1_Ch2.asf,877.799,20160908013708085@DVR1_Ch3.asf,877.206,20160908015145291,Field Joint - Normal,2.1,1.371
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,920.765,20160908013707492@DVR1_Ch2.asf,920.28,20160908013708085@DVR1_Ch3.asf,919.687,20160908015227772,Field Joint - Normal,2.1,1.359
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,941.485,20160908013707492@DVR1_Ch2.asf,941.0,20160908013708085@DVR1_Ch3.asf,940.407,20160908015248492,Anode - Bracelet - moderate wastage 25-50%,1.1.2,1.353
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1007.807,20160908013707492@DVR1_Ch2.asf,1007.322,20160908013708085@DVR1_Ch3.asf,1006.729,20160908015354814,Field Joint - Normal,2.1,1.334
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1051.687,20160908013707492@DVR1_Ch2.asf,1051.202,20160908013708085@DVR1_Ch3.asf,1050.609,20160908015438694,Field Joint - Normal,2.1,1.321
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1087.648,20160908013707492@DVR1_Ch2.asf,1087.163,20160908013708085@DVR1_Ch3.asf,1086.57,20160908015514655,Field Joint - Normal,2.1,1.3101
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1126.008,20160908013707492@DVR1_Ch2.asf,1125.523,20160908013708085@DVR1_Ch3.asf,1124.93,20160908015553015,Field Joint - Normal,2.1,1.3
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1129.689,20160908013707492@DVR1_Ch2.asf,1129.204,20160908013708085@DVR1_Ch3.asf,1128.611,20160908015556696,Exposure - intermittent start,7.4,1.299
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1317.732,20160908013707492@DVR1_Ch2.asf,1317.247,20160908013708085@DVR1_Ch3.asf,1316.654,20160908015904739,Exposure - intermittent  end,7.5,1.2451
DATA_20160908013707007,20160908013707007@DVR1_Ch1.asf,1553.535,20160908013707492@DVR1_Ch2.asf,1553.05,20160908013708085@DVR1_Ch3.asf,1552.457,20160908020300542,Exposure - intermittent start,7.4,1.179
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,338.825,20160823142806905@DVR1_Ch2.asf,338.246,20160823142805701@DVR1_Ch3.asf,339.45,20160823143345151,Debris - Netting,6.2,52.809
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,412.106,20160823142806905@DVR1_Ch2.asf,411.527,20160823142805701@DVR1_Ch3.asf,412.731,20160823143458432,Debris - Soft rope,6.4,52.788
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,422.786,20160823142806905@DVR1_Ch2.asf,422.207,20160823142805701@DVR1_Ch3.asf,423.411,20160823143509112,Debris - Netting,6.2,52.7855
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,472.347,20160823142806905@DVR1_Ch2.asf,471.768,20160823142805701@DVR1_Ch3.asf,472.972,20160823143558673,Debris - Netting,6.2,52.773
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,476.547,20160823142806905@DVR1_Ch2.asf,475.968,20160823142805701@DVR1_Ch3.asf,477.172,20160823143602873,Debris - Netting,6.2,52.772
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,493.147,20160823142806905@DVR1_Ch2.asf,492.568,20160823142805701@DVR1_Ch3.asf,493.772,20160823143619473,Debris - Soft rope,6.4,52.767
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,512.628,20160823142806905@DVR1_Ch2.asf,512.049,20160823142805701@DVR1_Ch3.asf,513.253,20160823143638954,Debris - Netting,6.2,52.7617
DATA_20160823142805701,20160823142806326@DVR1_Ch1.asf,514.228,20160823142806905@DVR1_Ch2.asf,513.649,20160823142805701@DVR1_Ch3.asf,514.853,20160823143640554,Field Joint - Normal,2.1,52.761
DATA_20160825205347052,20160825205347630@DVR1_Ch1.asf,772.915,20160825205347052@DVR1_Ch2.asf,773.493,20160825205348302@DVR1_Ch3.asf,772.243,20160825210640545,Debris - Boulder,6.1,3.1725
DATA_20160825205347052,20160825205347630@DVR1_Ch1.asf,1458.685,20160825205347052@DVR1_Ch2.asf,1459.263,20160825205348302@DVR1_Ch3.asf,1458.013,20160825211806315,Debris - Boulder,6.1,2.9228
DATA_20160901113129200,20160901113129450@DVR1_Ch1.asf,186.405,20160901113129872@DVR1_Ch2.asf,185.983,20160901113130262@DVR1_Ch3.asf,185.593,20160901113435855,Stabilisation - Rockdump - Start,3.7.1,57.795
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,49.98,20160902195940287@DVR1_Ch2.asf,49.699,20160902195941412@DVR1_Ch3.asf,48.574,20160902200029986,Other Fixed - End of weightcoat,4.10,11.9337
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,57.3,20160902195940287@DVR1_Ch2.asf,57.019,20160902195941412@DVR1_Ch3.asf,55.894,20160902200037306,Other Fixed - Pipe bend,4.11,11.9348
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,75.5,20160902195940287@DVR1_Ch2.asf,75.219,20160902195941412@DVR1_Ch3.asf,74.094,20160902200055506,Other Fixed - Clamp,4.6,11.9364
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,77.7,20160902195940287@DVR1_Ch2.asf,77.419,20160902195941412@DVR1_Ch3.asf,76.294,20160902200057706,Other Fixed - Pipe bend,4.11,11.9366
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,89.86,20160902195940287@DVR1_Ch2.asf,89.579,20160902195941412@DVR1_Ch3.asf,88.454,20160902200109866,Other Fixed - Clamp,4.6,11.9378
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,118.741,20160902195940287@DVR1_Ch2.asf,118.46,20160902195941412@DVR1_Ch3.asf,117.335,20160902200138747,Other Fixed - Pipe bend,4.11,11.9377
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,136.061,20160902195940287@DVR1_Ch2.asf,135.78,20160902195941412@DVR1_Ch3.asf,134.655,20160902200156067,Other Fixed - Flange,4.4,11.9371
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,181.902,20160902195940287@DVR1_Ch2.asf,181.621,20160902195941412@DVR1_Ch3.asf,180.496,20160902200241908,Measurement - CP Stab,16.2,11.9358
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,206.862,20160902195940287@DVR1_Ch2.asf,206.581,20160902195941412@DVR1_Ch3.asf,205.456,20160902200306868,Measurement - CP Stab,16.2,11.935
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,282.424,20160902195940287@DVR1_Ch2.asf,282.143,20160902195941412@DVR1_Ch3.asf,281.018,20160902200422430,Exposure - End,7.2,11.9327
DATA_20160902195940006,20160902195940006@DVR1_Ch1.asf,298.304,20160902195940287@DVR1_Ch2.asf,298.023,20160902195941412@DVR1_Ch3.asf,296.898,20160902200438310,Survey Section - End of - Pipe exposed,12.2.1,11.9323
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,57.99,20160906114800997@DVR1_Ch2.asf,57.537,20160906114801544@DVR1_Ch3.asf,56.99,20160906114858534,Debris - Soft rope,6.4,0.58
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,337.795,20160906114800997@DVR1_Ch2.asf,337.342,20160906114801544@DVR1_Ch3.asf,336.795,20160906115338339,Exposure - Start,7.1,0.519
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,363.955,20160906114800997@DVR1_Ch2.asf,363.502,20160906114801544@DVR1_Ch3.asf,362.955,20160906115404499,Exposure - End,7.2,0.5123
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,392.276,20160906114800997@DVR1_Ch2.asf,391.823,20160906114801544@DVR1_Ch3.asf,391.276,20160906115432820,Exposure - Start,7.1,0.504
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,397.476,20160906114800997@DVR1_Ch2.asf,397.023,20160906114801544@DVR1_Ch3.asf,396.476,20160906115438020,Exposure - End,7.2,0.502
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,429.876,20160906114800997@DVR1_Ch2.asf,429.423,20160906114801544@DVR1_Ch3.asf,428.876,20160906115510420,Exposure - Start,7.1,0.4933
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,466.797,20160906114800997@DVR1_Ch2.asf,466.344,20160906114801544@DVR1_Ch3.asf,465.797,20160906115547341,Exposure - End,7.2,0.4834
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,495.037,20160906114800997@DVR1_Ch2.asf,494.584,20160906114801544@DVR1_Ch3.asf,494.037,20160906115615581,Anode - Bracelet - slight wastage 0-25%,1.1.1,0.476
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,562.919,20160906114800997@DVR1_Ch2.asf,562.466,20160906114801544@DVR1_Ch3.asf,561.919,20160906115723463,Measurement - CP Stab,16.2,0.475
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,657.68,20160906114800997@DVR1_Ch2.asf,657.227,20160906114801544@DVR1_Ch3.asf,656.68,20160906115858224,Exposure - Start,7.1,0.473
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,687.08,20160906114800997@DVR1_Ch2.asf,686.627,20160906114801544@DVR1_Ch3.asf,686.08,20160906115927624,Exposure - End,7.2,0.468
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,751.161,20160906114800997@DVR1_Ch2.asf,750.708,20160906114801544@DVR1_Ch3.asf,750.161,20160906120031705,Exposure - Start,7.1,0.457
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,769.241,20160906114800997@DVR1_Ch2.asf,768.788,20160906114801544@DVR1_Ch3.asf,768.241,20160906120049785,Exposure - End,7.2,0.454
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,905.843,20160906114800997@DVR1_Ch2.asf,905.39,20160906114801544@DVR1_Ch3.asf,904.843,20160906120306387,Exposure - Start,7.1,0.417
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,919.484,20160906114800997@DVR1_Ch2.asf,919.031,20160906114801544@DVR1_Ch3.asf,918.484,20160906120320028,Exposure - End,7.2,0.414
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,959.644,20160906114800997@DVR1_Ch2.asf,959.191,20160906114801544@DVR1_Ch3.asf,958.644,20160906120400188,Exposure - Start,7.1,0.406
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,1091.566,20160906114800997@DVR1_Ch2.asf,1091.113,20160906114801544@DVR1_Ch3.asf,1090.566,20160906120612110,Exposure - End,7.2,0.3717
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,1131.047,20160906114800997@DVR1_Ch2.asf,1130.594,20160906114801544@DVR1_Ch3.asf,1130.047,20160906120651591,Exposure - Start,7.1,0.361
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,1136.487,20160906114800997@DVR1_Ch2.asf,1136.034,20160906114801544@DVR1_Ch3.asf,1135.487,20160906120657031,Exposure - End,7.2,0.3598
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,1214.608,20160906114800997@DVR1_Ch2.asf,1214.155,20160906114801544@DVR1_Ch3.asf,1213.608,20160906120815152,Exposure - Start,7.1,0.337
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,1226.248,20160906114800997@DVR1_Ch2.asf,1225.795,20160906114801544@DVR1_Ch3.asf,1225.248,20160906120826792,Exposure - End,7.2,0.334
DATA_20160906114759997,20160906114800544@DVR1_Ch1.asf,1510.413,20160906114800997@DVR1_Ch2.asf,1509.96,20160906114801544@DVR1_Ch3.asf,1509.413,20160906121310957,Exposure - Start,7.1,0.256
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,201.079,20160824233940296@DVR1_Ch2.asf,200.813,20160824233940624@DVR1_Ch3.asf,200.485,20160824234301109,Field Joint - Normal,2.1,22.434
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,240.0,20160824233940296@DVR1_Ch2.asf,239.734,20160824233940624@DVR1_Ch3.asf,239.406,20160824234340030,Debris - Other soft debris,6.15,22.424
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,248.48,20160824233940296@DVR1_Ch2.asf,248.214,20160824233940624@DVR1_Ch3.asf,247.886,20160824234348510,Field Joint - Normal,2.1,22.4211
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,287.04,20160824233940296@DVR1_Ch2.asf,286.774,20160824233940624@DVR1_Ch3.asf,286.446,20160824234427070,Field Joint - Normal,2.1,22.409
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,337.841,20160824233940296@DVR1_Ch2.asf,337.575,20160824233940624@DVR1_Ch3.asf,337.247,20160824234517871,Debris - Soft rope,6.4,22.3927
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,367.881,20160824233940296@DVR1_Ch2.asf,367.615,20160824233940624@DVR1_Ch3.asf,367.287,20160824234547911,Field Joint - Normal,2.1,22.3837
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,500.723,20160824233940296@DVR1_Ch2.asf,500.457,20160824233940624@DVR1_Ch3.asf,500.129,20160824234800753,Exposure - Start,7.1,22.345
DATA_20160824233940030,20160824233940030@DVR1_Ch1.asf,532.884,20160824233940296@DVR1_Ch2.asf,532.618,20160824233940624@DVR1_Ch3.asf,532.29,20160824234832914,Debris - Soft rope,6.4,22.335
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,16.289,20160902075749522@DVR1_Ch2.asf,15.805,20160902075749866@DVR1_Ch3.asf,15.461,20160902075805327,Anode - Bracelet - slight wastage 0-25%,1.1.1,0.0402
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,44.45,20160902075749522@DVR1_Ch2.asf,43.966,20160902075749866@DVR1_Ch3.asf,43.622,20160902075833488,Measurement - CP Stab,16.2,0.04
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,111.371,20160902075749522@DVR1_Ch2.asf,110.887,20160902075749866@DVR1_Ch3.asf,110.543,20160902075940409,Weightcoat Missing - End of loss,11.2,0.04
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,114.931,20160902075749522@DVR1_Ch2.asf,114.447,20160902075749866@DVR1_Ch3.asf,114.103,20160902075943969,Weightcoat Missing - Start of loss,11.1,0.04
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,137.851,20160902075749522@DVR1_Ch2.asf,137.367,20160902075749866@DVR1_Ch3.asf,137.023,20160902080006889,Stabilisation - Mattress - End,3.5.2,0.04
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,158.291,20160902075749522@DVR1_Ch2.asf,157.807,20160902075749866@DVR1_Ch3.asf,157.463,20160902080027329,Stabilisation - Mattress - Start,3.5.1,0.039
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,165.131,20160902075749522@DVR1_Ch2.asf,164.647,20160902075749866@DVR1_Ch3.asf,164.303,20160902080034169,Anode - Bracelet - slight wastage 0-25%,1.1.1,0.039
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,172.532,20160902075749522@DVR1_Ch2.asf,172.048,20160902075749866@DVR1_Ch3.asf,171.704,20160902080041570,Other Fixed - Pipe bend,4.11,0.019
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,190.132,20160902075749522@DVR1_Ch2.asf,189.648,20160902075749866@DVR1_Ch3.asf,189.304,20160902080059170,Stabilisation - Mattress - End,3.5.2,0.017
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,226.533,20160902075749522@DVR1_Ch2.asf,226.049,20160902075749866@DVR1_Ch3.asf,225.705,20160902080135571,Stabilisation - Mattress - Start,3.5.1,0.014
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,264.093,20160902075749522@DVR1_Ch2.asf,263.609,20160902075749866@DVR1_Ch3.asf,263.265,20160902080213131,Anode - Bracelet - slight wastage 0-25%,1.1.1,0.01
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,270.613,20160902075749522@DVR1_Ch2.asf,270.129,20160902075749866@DVR1_Ch3.asf,269.785,20160902080219651,Measurement - CP Stab,16.2,0.01
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,312.694,20160902075749522@DVR1_Ch2.asf,312.21,20160902075749866@DVR1_Ch3.asf,311.866,20160902080301732,Debris - Metalwork,6.7,0.0089
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,328.615,20160902075749522@DVR1_Ch2.asf,328.131,20160902075749866@DVR1_Ch3.asf,327.787,20160902080317653,Weightcoat Missing - End of loss,11.2,0.005
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,338.375,20160902075749522@DVR1_Ch2.asf,337.891,20160902075749866@DVR1_Ch3.asf,337.547,20160902080327413,Span - End,8.2,0.004
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,339.455,20160902075749522@DVR1_Ch2.asf,338.971,20160902075749866@DVR1_Ch3.asf,338.627,20160902080328493,Other Fixed - Pipe bend,4.11,0.004
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,406.416,20160902075749522@DVR1_Ch2.asf,405.932,20160902075749866@DVR1_Ch3.asf,405.588,20160902080435454,Weightcoat Missing - Start of loss,11.1,-0.001
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,413.416,20160902075749522@DVR1_Ch2.asf,412.932,20160902075749866@DVR1_Ch3.asf,412.588,20160902080442454,Other Fixed - Pipe bend,4.11,-0.001
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,474.337,20160902075749522@DVR1_Ch2.asf,473.853,20160902075749866@DVR1_Ch3.asf,473.509,20160902080543375,Other Fixed - Flange,4.4,-0.002
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,507.777,20160902075749522@DVR1_Ch2.asf,507.293,20160902075749866@DVR1_Ch3.asf,506.949,20160902080616815,Measurement - CP Stab,16.2,-0.0022
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,546.738,20160902075749522@DVR1_Ch2.asf,546.254,20160902075749866@DVR1_Ch3.asf,545.91,20160902080655776,Measurement - CP Stab,16.2,-0.001
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,557.758,20160902075749522@DVR1_Ch2.asf,557.274,20160902075749866@DVR1_Ch3.asf,556.93,20160902080706796,Span - Start,8.1,-0.001
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,557.958,20160902075749522@DVR1_Ch2.asf,557.474,20160902075749866@DVR1_Ch3.asf,557.13,20160902080706996,Exposure - Start,7.1,-0.001
DATA_20160902075749038,20160902075749038@DVR1_Ch1.asf,558.058,20160902075749522@DVR1_Ch2.asf,557.574,20160902075749866@DVR1_Ch3.asf,557.23,20160902080707096,Survey Section - End of - Pipe exposed,12.2.1,-0.001
DATA_20160824120710782,20160824120708998@DVR1_Ch1.asf,70.78,20160824120709592@DVR1_Ch2.asf,70.186,20160824120709936@DVR1_Ch3.asf,69.842,20160824120819778,Field Joint,2,36.522
DATA_20160824120710782,20160824120708998@DVR1_Ch1.asf,270.383,20160824120709592@DVR1_Ch2.asf,269.789,20160824120709936@DVR1_Ch3.asf,269.445,20160824121139381,Exposure - Start,7.1,36.449
DATA_20160824120710782,20160824120708998@DVR1_Ch1.asf,1114.594,20160824120709592@DVR1_Ch2.asf,1114.0,20160824120709936@DVR1_Ch3.asf,1113.656,20160824122543592,Exposure - End,7.2,36.105
DATA_20160824120710782,20160824120708998@DVR1_Ch1.asf,1184.835,20160824120709592@DVR1_Ch2.asf,1184.241,20160824120709936@DVR1_Ch3.asf,1183.897,20160824122653833,Exposure - Start,7.1,36.0768
